result #	query	article title	article url	article description	Author	Date	total nr of results indicated by Google	Extra settings	
400	“open internet” blogurl:freepress.net	the fcc's comcast decision: implications for the open internet	http://www.freepress.net/node/44322	the fcc's recent decision that comcast's management of its broadband internet networks violated federal policies has been widely recognized as an important milestone in the fight for an open internet. the fcc's order is certainly not ...	n/a	16/09/2008	130		
401	“open internet” blogurl:freepress.net	amy goodman interviews free press on open internet victory	http://www.freepress.net/FCC_Comcast_democracy_now	free press communications director craig aaron talks to amy goodman's "democracy now" about the fcc's historic open internet decision. learn more and take action at savetheinternet.com.	mthompson  	04/08/2008	130		
402	“open internet” blogurl:freepress.net	breaking news: historic victory for the open internet	http://www.freepress.net/node/42959	today is an historic turning point for net neutrality -- thanks to the fcc's landmark decision to punish cable giant comcast for blocking internet traffic. learn more and take action today at savetheinternet.com.	mthompson  	01/08/2008	130		
403	“open internet” blogurl:freepress.net	edwards, huckabee support an open internet, mccain waffles	http://www.freepress.net/news/23499	more 2008 presidential candidates are making an open and neutral internet a part of their platform. others prefer fence sitting, perhaps fearful to upset one of washington's most entrenched and moneyed corporate lobbies.	n/a	31/05/2007	130		
404	“open internet” blogurl:freepress.net	Media Minutes: October 23, 2009 | Free Press	http://www.freepress.net/node/73814	But during the run-up to the vote, AT&T's chief lobbyist sent a letter to company employees asking them to weigh in against an open Internet. And a new bill in Congress could help beleaguered community TV stations across the country. ...	Candace Clement  	22/10/2009	130		
405	“open internet” blogurl:freepress.net	Free Press Praises Blueprint for Repairing Broken Media | Free Press	http://www.freepress.net/node/73149	Informing Communities recommends policy changes in support of nonprofit and other emerging media models, increasing adoption of high-speed open Internet, improving media literacy, and promoting a more robust public broadcasting system. ...	n/a	02/10/2009	130		
406	“open internet” blogurl:freepress.net	open internet coalition calls for fcc action to protect choice and ...	http://www.freepress.net/news/24673	the open internet coalition called on the fcc to take three key steps to ensure the internet remains open to innovation and promotes consumer choice.	n/a	16/07/2007	130		
407	“open internet” blogurl:freepress.net	fcc and congress need to slap down comcast and adopt open internet ...	http://www.freepress.net/news/30629	it's our network and we can do anything we want. if that scary new mantra of cable giant comcast is allowed to stand, internet service providers would become powerful gatekeepers, able to control all the data flowing through their ...	n/a	19/02/2008	130		
408	“open internet” blogurl:freepress.net	open internet coalition launches	http://www.freepress.net/news/23584	the open internet coalition represents consumers, grassroots organizations, and businesses working in pursuit of a shared goal: keeping the internet fast, open and accessible to all americans.	n/a	02/06/2007	130		
409	“open internet” blogurl:freepress.net	Media Minutes: September 25, 2009 | Free Press	http://www.freepress.net/node/73020	The future of an open Internet got a whole lot brighter this week. On Monday, Federal Communications Commission Chairman Julius Genachowski delivered a landmark speech in which he called for new rules to protect Net Neutrality, ...	n/a	24/09/2009	130		
410	“open internet” blogurl:freepress.net	North Carolina Gathers for Internet Debate | Free Press	http://www.freepress.net/node/48481	InternetforEveryone.org is a national initiative of public interest, civic and industry groups that are working to bring the benefits of a fast, affordable and open Internet connection to everyone in America. ...	Stevie Converse  	26/02/2009	130		
411	“open internet” blogurl:savetheinternet.com/blog	My Web Series Made Possible by Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/10/01/05/my-web-series-made-possible-net-neutrality	We know the future will go down of one two paths -- the first is an open Internet where any small startup with a good idea can make it big (without Net Neutrality Google, Facebook, Twitter, YouTube could not have been possible) the ...	Ruth Livier  	05/01/2010	306		
412	“open internet” blogurl:savetheinternet.com/blog	Young Entrepreneurs Rely on the Open Internet | Save the Internet	http://www.savetheinternet.com/blog/09/12/10/young-entrepreneurs-rely-open-internet	As a young owner of a small business -- a New York-based startup company called onebluebrick -- I rely on an open Internet, and I've experienced firsthand what will happen if Net Neutrality is not preserved.	Matthew Rosenberg  	10/12/2009	306		
413	“open internet” blogurl:savetheinternet.com/blog	The Top 10 Internet Moments of 2009 | Save the Internet	http://www.savetheinternet.com/blog/09/12/23/top-10-internet-moments-2009	The mere suggestion of a rule put the open Internet foes at AT&T, Verizon and Comcast into overdrive. In 2009, their lobbyists flooded lawmakers, regulators and the press with phony claims about the "unintended consequences" of FCC ...	Tim Karr  	23/12/2009	306		
414	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality And Why It Is Important To Women | Save the Internet	http://www.savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	... digital divide FCC FCC NOI fcc rulemaking fcc rulemaking on net neutrality Free Press Summit free speech Genachoswki Genachowski Julius Genachowski national broadband plan Net Neutrality open internet Verizon what is net neutrality? ...	Mary Alice Crim  	07/01/2010	306		
415	“open internet” blogurl:savetheinternet.com/blog	The Internet's Greatest Gift: Participation | Save the Internet	http://www.savetheinternet.com/blog/09/12/16/internets-greatest-gift-participation	An Open Internet means that we can speak, organize and innovate without getting anybody's prior permission. This idea, too, has deep roots in the values underlying the First Amendment. One of the earliest conceptions of freedom of ...	Jack M. Balkin  	16/12/2009	306		
416	“open internet” blogurl:savetheinternet.com/blog	FCC Fine Print Could Undermine an Open Internet	http://www.savetheinternet.com/blog/09/11/02/fcc-fine-print-could-undermine-open-internet	Buried in the fine print of the FCC's proposed Net Neutrality rules is a potential loophole that if left open would undermine the future of Internet freedom. So says a group of prominent law professors who on Monday told the FCC that ...	Tim Karr  	02/11/2009	306		
417	“open internet” blogurl:savetheinternet.com/blog	FCC Chief 'Boldly' Commits to Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/09/09/21/fcc-chief-boldly-commits-net-neutrality	The fight for Net Neutrality took a big step forward on Monday with the chair of the Federal Communications Commission announcing plans to expand the rules to protect a free and open Internet.	Tim Karr  	21/09/2009	306		
418	“open internet” blogurl:savetheinternet.com/blog	The Internet Must Not Become a Segregated Community | Save the ...	http://www.savetheinternet.com/blog/09/12/01/internet-must-not-become-segregated-community	None of this -- not these advocacy efforts, not countless small business success stories, not even the election of President Obama -- would have happened without a free and open Internet. For communities of color, the Internet provides ...	Malkia Cyril  	01/12/2009	306		
419	“open internet” blogurl:savetheinternet.com/blog	Truth vs. Spam on Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/09/12/08/truth-vs-spam-net-neutrality	For about half a second, as we all gathered around one computer to read your urgent note, we almost abandoned our campaign for an open Internet and free speech. But then we remembered that Net Neutrality is actually vital to how we use ...	Megan Tady  	08/12/2009	306		
420	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality Is Pro-Business | Save the Internet	http://www.savetheinternet.com/blog/09/11/06/net-neutrality-pro-business	Net Neutrality opponents would have us believe that an open Internet is bad for business. Funny then, that folks from the business and tech sectors have been penning editorials in recent weeks to make the case that Net Neutrality is ...	Josh Levy  	06/11/2009	306		
421	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality: What Women Really Want | Save the Internet	http://www.savetheinternet.com/blog/09/10/30/net-neutrality-what-women-really-want	Female business owners in particular are helped by an open Internet, where they have an equal platform to compete against more established businesses, create their own start-up companies, and implement new ideas. ...	Mary Alice Crim  	30/10/2009	306		
422	“open internet” blogurl:savetheinternet.com/blog	Civil Rights, Self-Representation, and the Fight for Open and ...	http://www.savetheinternet.com/blog/09/12/21/civil-rights-self-representation-and-fight-open-and-neutral-online-networks	... digital divide FCC FCC NOI fcc rulemaking fcc rulemaking on net neutrality Free Press Summit free speech Genachoswki Genachowski Julius Genachowski national broadband plan Net Neutrality open internet Verizon what is net neutrality? ...	Malkia Cyril  	21/12/2009	306		
423	“open internet” blogurl:savetheinternet.com/blog	Historic Day for Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/09/10/22/historic-day-net-neutrality	The Federal Communications Commission just approved a Notice of Proposed Rulemaking on Net Neutrality this morning, following through on its promise to preserve an open Internet.	Megan Tady  	22/10/2009	306		
424	“open internet” blogurl:savetheinternet.com/blog	Thousands File Comments for an Open Internet | Save the Internet	http://www.savetheinternet.com/blog/09/06/09/thousands-file-comments-open-internet-0	At the close of yesterday's FCC comment period about a national Internet plan, thousands of you filed comments in support of an open, affordable Internet. This could be the biggest docket in the FCC's history.	Megan Tady  	09/06/2009	306		
425	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality: Put Your Foot Down | Save the Internet	http://www.savetheinternet.com/blog/09/11/23/net-neutrality-put-your-foot-down	Support the Internet Freedom & Preservation Act of 2009 by Congressman Ed Markey to protect the open Internet from discrimination. Rules requiring non discrimination, and equal treatment of all web traffic and content are essential for ...	Justine Bateman  	23/11/2009	306		
426	“open internet” blogurl:savetheinternet.com/blog	Arguments Against Net Neutrality Grow Mold | Save the Internet	http://www.savetheinternet.com/blog/09/10/01/arguments-against-net-neutrality-grow-mold	Digital Déjà Vu: Old Myths about Net Neutrality sheds light on the misdirection, fear-mongering and falsehoods at the core of their "talking points" and calls for the debate over an open Internet to be bound by facts, not fiction. ...	Tim Karr  	01/10/2009	306		
427	“open internet” blogurl:savetheinternet.com/blog	They Work for Us | Save the Internet	http://www.savetheinternet.com/blog/09/10/16/they-work-us	They're also going against President Obama's tech agenda that supports a free and open Internet, where competition and innovation can flourish. The president has said he'll take a "back seat to no one in my commitment to Net Neutrality" ...	Megan Tady  	16/10/2009	306		
428	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality at Home Is Key to Promoting Democracy Abroad, say ...	http://www.savetheinternet.com/blog/09/11/25/net-neutrality-home-key-promoting-democracy-abroad-say-white-house-state-department	Ross and McLaughlin's reasoning is simple: If we don't protect an open Internet at home, we make it far too easy for autocrats abroad to impose limitations on Internet access in their nations. These autocrats could point to the United ...	Marvin Ammori  	25/11/2009	306		
429	“open internet” blogurl:savetheinternet.com/blog	John McCain's 'Series of Tubes' | Save the Internet	http://www.savetheinternet.com/blog/09/10/25/john-mccains-series-tubes	John McCain introduced legislation to kill the open Internet, the deceptively named "Internet Freedom Act." The bill would stop all FCC efforts to have an open and public discussion about proposed Net Neutrality rules. ...	Tim Karr  	25/10/2009	306		
430	“open internet” blogurl:savetheinternet.com/blog	Top Tech CEOs and Pioneers: Net Neutrality Essential for ...	http://www.savetheinternet.com/blog/09/10/19/top-tech-ceos-and-pioneers-net-neutrality-essential-innovation	This support for an open Internet was echoed by the CEOs and tech innovators who sent Monday's letter: "America's leadership in the technology space has been due, in large part, to the open Internet. We applaud your leadership in ...	Tim Karr  	19/10/2009	306		
431	“open internet” blogurl:savetheinternet.com/blog	Musicians Stand Up for Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/09/10/20/musicians-stand-net-neutrality	This fight to preserve the open internet has been going on for some time. Now that we're close to having Net Neutrality become the law of the land, it's little surprise that the big telecom and cable companies are pushing back. ...	Casey Rae-Hunter  	20/10/2009	306		
432	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality & Social Justice for NYC's Immigrant Communities ...	http://www.savetheinternet.com/blog/09/11/23/net-neutrality-social-justice-nyc%E2%80%99s-immigrant-communities	The larger goal is affordable and open Internet access for everyone, everywhere. Net Neutrality recognizes that the Internet is an essential infrastructure for economic, social and political activity and not just a private commodity to ...	Jehangir Khattak  	23/11/2009	306		
433	“open internet” blogurl:savetheinternet.com/blog	Net Neutrality Preserves the Writers' Inkwell | Save the Internet	http://www.savetheinternet.com/blog/09/11/11/net-neutrality-preserves-writers%E2%80%99-inkwell	“This is the kind of news that mobilizes a Guild devoted to writers' rights,” Stayton wrote in the October/November issue, which is devoted to exploring why an open Internet is so crucial to writers and content creators. ...	Megan Tady  	11/11/2009	306		
434	“open internet” blogurl:savetheinternet.com/blog	Industry Nonsense on Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/09/09/25/industry-nonsense-net-neutrality	Companies are going to continue to squawk while the FCC and Congress move forward with plans to protect an open Internet. My recommendation: Get some ear plugs. Because while they're still whining about a business model that hurts the ...	Megan Tady  	25/09/2009	306		
435	“open internet” blogurl:savetheinternet.com/blog	Overwhelming Support for Net Neutrality on Eve of FCC Meeting ...	http://www.savetheinternet.com/blog/09/10/21/overwhelming-support-net-neutrality-eve-fcc-meeting	When it comes to protecting the open Internet, the public has spoken, voicing overwhelming support for Net Neutrality. With more than 1.6 million Americans and more than 850 organizations on record for Net Neutrality, the FCC should ...	Megan Tady  	21/10/2009	306		
436	“open internet” blogurl:savetheinternet.com/blog	Obama Agrees with FCC on Net Neutrality | Save the Internet	http://www.savetheinternet.com/blog/09/09/21/obama-agrees-fcc-net-neutrality	Earlier this morning, FCC Chair Julius Genachowski made a gigantic announcement: the agency will expand their rules to protect a free and open Internet. This is a really important step forward in keeping the Internet free from corporate ...	Megan Tady  	21/09/2009	306		
437	“open internet” blogurl:savetheinternet.com/blog	High Tech Greens the Internet: Net Neutrality and the Smart Grid ...	http://www.savetheinternet.com/blog/09/11/04/high-tech-greens-internet-net-neutrality-and-smart-grid	Another dependency not often included in this discussion is a free and open Internet, more commonly referred to as net neutrality. The reliability of software that uses the smart grid and the Internet is dependent on net neutrality to ...	Nick Nigro  	04/11/2009	306		
438	“open internet” blogurl:savetheinternet.com/blog	Save the Internet	http://www.savetheinternet.com/blog/09/10/06/frequently-asked-questions	November 19, 2009 by Brett Bursey. When South Carolina resident Brett Bursey read an editorial in the Greenville News urging the FCC to dismiss Net Neutrality rules, he penned a letter-to-the-editor in support of an open Internet. ...	Tim Karr  	06/10/2009	306		
439	“open internet” blogurl:savetheinternet.com/blog	A Legal Look at the Comcast Case | Save the Internet	http://www.savetheinternet.com/blog/09/10/07/legal-look-comcast-case	Upholding the agency's order is an essential step in the larger fight to protect the open Internet, our greatest "town square" and most powerful media infrastructure for free speech and innovation. The FCC's order guards against ...	Chris Riley  	07/10/2009	306		
440	“open internet” blogurl:savetheinternet.com/blog	Open Letter to Civil Rights Community on Net Neutrality | Save the ...	http://www.savetheinternet.com/blog/09/11/09/open-letter-civil-rights-community-net-neutrality	... Congress digital divide FCC fcc rulemaking on net neutrality first amendment Free Press Summit free speech Genachowski Internet Julius Genachowski markey national broadband plan Net Neutrality open internet Time Warner Cable Verizon ...	Alex Nogales and Ben Scott  	09/11/2009	306		
441	“open internet” blogurl:dig.csail.mit.edu/breadcrumbs/blog/4	n/a	n/a	n/a			n/a		
442	“open internet” blogurl:internetevolution.com/author.asp?section_id=506&doc_id=134705	n/a	n/a	n/a			n/a		
443	“open internet” blogurl:seminal.firedoglake.com/diary/22925	The Seminal » White House backing off net neutrality?	http://seminal.firedoglake.com/diary/22925	Genachowski had initially described his vision for the future role of the FCC as a "smart cop on the beat preserving a free and open Internet." Communications companies understood that to mean aggressive and detailed enforcement of ...	Jason Rosenbaum  	08/01/2010	1		
444	“open internet” blogurl:techdailydose.nationaljournal.com/2010/01/fcc-using-comcast-dispute-to-p.php	n/a	n/a	n/a			n/a		
445	“open internet” blogurl:philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	Comcast, FCC take net neutrality dispute to court | Philly | 01/08 ...	http://www.philly.com/philly/business/technology/20100108_ap_comcastfcctakenetneutralitydisputetocourt.html	Still, in a statement following Friday's arguments, Genachowski he is confident the commission possesses the legal authority it needs "to preserve the free and open Internet." Comcast had no official comment Friday. ...	n/a	09/01/2010	1		
446	“open internet” blogurl:mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	MediaCitizen: AT&T Consultant Conjures 'Evidence' that Obama is ...	http://mediacitizen.blogspot.com/2010/01/at-consultant-conjures-evidence-that.html	The report finds that open Internet rules will likely have a positive impact on investment in both the network and applications markets -- which in turn has a positive impact on jobs. "There is no doubt that without Net Neutrality, ...	Timothy Karr  	09/01/2010	1		
447	“open internet” blogurl:artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	ArtsJournal: Daily Arts News	http://www.artsjournal.com/artsjournal1/2010/01/why_musicians_s.shtml	"The reason artists need to care about net neutrality is that, should an open internet disappear, it's likely that the free-flowing manner in which we now conduct our business would as well." NewMusicBox 01/08/10 ...	n/a	08/01/2010	1		
448	“open internet” blogurl:savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	Net Neutrality And Why It Is Important To Women | Save the Internet	http://www.savetheinternet.com/blog/10/01/07/net-neutrality-and-why-it-important-women	... digital divide FCC FCC NOI fcc rulemaking fcc rulemaking on net neutrality Free Press Summit free speech Genachoswki Genachowski Julius Genachowski national broadband plan Net Neutrality open internet Verizon what is net neutrality? ...	Mary Alice Crim  	07/01/2010	1		
449	“open internet” blogurl:ecommercetimes.com/rsstory/69063.html	E-Commerce News: Controversies: Comcast, FCC Take Net Neutrality ...	http://www.ecommercetimes.com/rsstory/69063.html	"Comcast and others have challenged the FCC's authority to take action to protect consumers and ensure their access to a free and open Internet," FCC General Counsel Austin Schlick said in an interview before Friday's hearing. ...	Joelle Tessler  	08/01/2010	1		
450	“open internet” blogurl:radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters	Crossover bands hit FCC with net neutrality letters	http://www.radiosurvivor.com/2010/01/08/crossover-bands-hit-fcc-with-net-neutrality-letters/	The open internet allows for and facilitates such interaction. We strongly encourage you to preserve its openness.” The Commission is currently proposing an expansion of its Internet Policy Statement, which commits the agency to making ...	Matthew Lasar  	09/01/2010	1		
451	“open internet” blogurl:blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap	Comcast, FCC take net neutrality dispute to court (AP ...	http://blogportant.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap/	"Comcast and others have challenged the FCC's authority to take action to protect consumers and ensure their access to a free and open Internet," FCC General Counsel Austin Schlick said. "This case provides the court of appeals an ...	Gossip  	07/01/2010	1		
452	“open internet” blogurl:right-winglibertarian.blogspot.com/2010/01/so-what-exactly-is-net-neutrality.html	n/a	n/a	n/a			n/a		
453	“open internet” blogurl:freedom-to-tinker.com/blog/jrmayer/search-neutrality-%E2%89%A0-net-neutrality	n/a	n/a	n/a			n/a		
454	“open internet” blogurl:michaelgeist.ca/content/view/4668/125	n/a	n/a	n/a			n/a		
455	“open internet” blogurl:benton.org/node/28370	n/a	n/a	n/a			n/a		
456	“open internet” blogurl:pajamasmedia.com/instapundit/91254	n/a	n/a	n/a			n/a		
457	“open internet” blogurl:pcmike.com/2010/01/08/court-to-fcc-you-have-no-power-to-enforce-net-neutrality-wired-news	n/a	n/a	n/a			n/a		
458	“open internet” blogurl:thegng.org/forums/showthread.php?t=12916	n/a	n/a	n/a			n/a		
459	“open internet” blogurl:thegng.org/forums/showthread.php?t=6736	n/a	n/a	n/a			n/a		
460	“open internet” blogurl:smt-info.com/comcast-fcc-take-net-neutrality-dispute-to-court-ap.html	n/a	n/a	n/a			n/a		
461	“open internet” blogurl:technews.am/conversations/cellular-news/comcast_fcc_take_net_neutrality_dispute_to_court	n/a	n/a	n/a			n/a		
462	“open internet” blogurl:technews.am	Why net neutrality is important for startups, innovation ...	http://technews.am/conversations/gigaom/why_net_neutrality_is_important_for_startups_innovation	While some could argue that a free and open Internet means less regulation and oversight, my experience leads me to believe that an Internet that encourages innovation and startups is one that supports net neutrality. ...	n/a	06/12/2009	9		
463	“open internet” blogurl:technews.am	compusa revives with open internet policy... (electronista ...	http://technews.am/conversations/electronista/compusa_revives_with_open_internet_policy	following its bankruptcy and sale to systemax, compusa has quietly been reopening new stores with a very different policy on internet access. in a talk with wired, systemax's technology products chief gilbert fiorentino has confirmed ...	n/a	10/04/2009	9		
464	“open internet” blogurl:technews.am	dpi doesn't kill the open internet, carriers do... (gigaom ...	http://technews.am/conversations/gigaom/dpi_doesn_t_kill_the_open_internet_carriers_do	the free press issued a report today that blames deep packet inspection technology for “the end of the internet,” arguing that internet service providers' use of equipment that can inspect individual packets of data should raise ...	n/a	19/03/2009	9		
465	“open internet” blogurl:technews.am	"blue bell" democrats ask fcc to tone it down on net neutrality ...	http://technews.am/conversations/all-things-digital/bluebelldemocratsaskfcctotoneitdownonnetneutralityvoices	In the long fight over open Internet, or net neutrality, rules on Internet providers, we're still essentially in pre-game. You'd never know it from the flurry of lobbying across the country last week.	n/a	19/10/2009	9		
466	“open internet” blogurl:technews.am	Verizon ceo slams fcc on net neutrality [voices]... (All Things ...	http://technews.am/conversations/all-things-digital/verizon_ceo_slams_fcc_on_net_neutrality_voices_	Chairman Ivan Seidenberg on Wednesday had some harsh words for the Federal Communications Commission a day ahead of its planned vote on open Internet rules, adding to what has become a fever pitch of public debate over the proposal.	n/a	21/10/2009	9		
467	“open internet” blogurl:technews.am	Fcc will probe managed services as part of net neutrality push ...	http://technews.am/conversations/gigaom/fcc_will_probe_managed_services_as_part_of_net_neutrality_push	Both the telecommunications industry and proponents of a free and open Internet have put the rhetoric machine into overdrive in the run-up to the release of a series of proposed rules on network neutrality by the Federal Communications ...	n/a	21/10/2009	9		
468	“open internet” blogurl:technews.am	Shocking coincidence! Republicans, at&t unhappy with proposed ...	http://technews.am/conversations/all-things-digital/shocking_coincidence_republicans_at_t_unhappy_with_proposed_network_neutrality_rules_digital_dail	Just hours after Julius Genachowski, chairman of the Federal Communications Commission, unveiled his open Internet proposal, a number of Republican senators stepped forward to oppose it. Arguing that Net Neutrality will "impede ...	n/a	21/09/2009	9		
469	“open internet” blogurl:technews.am	At&t linked to gop senators who have proposed anti-net neutrality ...	http://technews.am/conversations/crunchgear/at_t_linked_to_gop_senators_who_have_proposed_anti_net_neutrality_bill_in_congress_pretend_to_be_sh	... Republican senators have tacked on an amendment to an appropriations bill that would block the FCC's attempt to make Net Neutrality a reality. So remember, kids: when you think of a free and open Internet, don't think of the GOP. ...	n/a	22/09/2009	9		
470	“open internet” blogurl:technews.am	advocacy group claims deep packet inspection puts free, open ...	http://technews.am/conversations/crunchgear/advocacy_group_claims_deep_packet_inspection_puts_free_open_internet_in_danger	we've spoken about deep packet inspection before, noting that authorities are using it to tackle crimes like the proliferation of online child pornography. it's convenient for the deep packet folks to hitch their wagon to such an issue, ...	n/a	21/03/2009	9		
471	“open internet” blogurl:cod4boards.com/news/163261-court-fcc-you-don-t-have-power-enforce-net-neutrality.html	n/a	n/a	n/a			n/a		
472	“open internet” blogurl:www2.webmasterradio.fm/webcology/2008/preserving-net-neutrality	n/a	n/a	n/a			n/a		
473	“open internet” blogurl:news.cnet.com/8301-1035_3-10430009-94.html?part=rss&subj=news&tag=2547-1_3-0-20	n/a	n/a	n/a			n/a		
474	“open internet” blogurl:topsy.com/tb/www.wired.com/threatlevel/2010/01/fcc-net-neutrality	n/a	n/a	n/a			n/a		
475	“open internet” blogurl:shareconnector.com/court-to-fcc-you-don%E2%80%99t-have-power-to-enforce-net-neutrality	n/a	n/a	n/a			n/a		
476	“open internet” blogurl:industry.bnet.com/technology/news-analysis/comcast-fcc-neutrality-court/25853	n/a	n/a	n/a			n/a		
477	“open internet” blogurl:techdirt.com/articles/20100108/1315247679.shtml	n/a	n/a	n/a			n/a		
478	“open internet” blogurl:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a			n/a		
479	“open internet” blogurl:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/	As proposed, net neutrality rules would apply only to internet service providers (ISPs), though both outright opponents of net neutrality, and supporters of “open internet” policies who consider that the rules do not go far enough have ...	Capitol Confidential  	06/01/2010	1		
480	“open internet” blogurl:sciencenewsdaily.org/telecom-news/cluster30825320	n/a	n/a	n/a			n/a		
481	“open internet” blogurl:reason.com/archives/2010/01/06/the-war-over-neutrality	n/a	n/a	n/a			n/a		
482	“open internet” blogurl:lsolum.typepad.com/legaltheory/2009/12/speta-on-fcc-regulatory-jurisdiction-net-neutrality.html	n/a	n/a	n/a			n/a		
483	“digital divide” blogurl:chrismarsden.blogspot.com	Decades of extra tax on UK fixed phone lines?	http://chrismarsden.blogspot.com/2009/12/decades-of-extra-tax-on-uk-fixed-phone.html	The 50p Digital Divide tax on business and residential fixed phone lines was always going to be a disaster in terms of equity (mobile users don't pay, the poor don't pay, all benefits go to rural users) but just how long it will last ...	chris  	11/12/2009	2		
484	“digital divide” blogurl:chrismarsden.blogspot.com	mandy to cut off uk file-sharers	http://chrismarsden.blogspot.com/2009/08/mandy-to-cut-off-uk-file-sharers.html	well, he has the media to square off before next year's general election.... add that to the apparent scrapping of the 50p digital divide levy, and they may as well have ignored stephen carter's report altogether....	chris  	25/08/2009	2		
485	“digital divide” blogurl:freepress.net	Wired Less: Disconnected in Urban America | Free Press	http://www.freepress.net/node/55854	While much of the discussion about broadband stimulus has focused on the coverage gaps in rural areas, many urban communities are facing a similar digital divide. According to the U.S. Census Bureau, more than 43.7 million urban ...	Jen Howard  	07/04/2009	99		
486	“digital divide” blogurl:freepress.net	america's growing digital divide	http://www.freepress.net/node/38188	digital sisters' shireen mitchell talks about america's growing digital divide -- and the need for a broadband vision and plan that benefits all americans.	mthompson  	07/04/2008	99		
487	“digital divide” blogurl:freepress.net	internet for everyone campaign aims to bridge digital divide	http://www.freepress.net/node/41947	... panel of internet academics, activists, and entrepreneurs gathered at the personal democracy forum in new york today to launch internet for everyone, a campaign calling for a national broadband policy to bridge the "digital divide. ...	Stevie Converse  	25/06/2008	99		
488	“digital divide” blogurl:freepress.net	broadband reality check ii: america's digital decline	http://www.freepress.net/docs/bbrc2-final.pdf	contradicting the rosy picture painted by the federal communications commission and congress, broadband reality check ii exposes the truth behind america's digital decline: a failed broadband policy that has left americans with higher ...	n/a	12/09/2006	99		
489	“digital divide” blogurl:freepress.net	better yardstick needed to measure digital divide	http://www.freepress.net/news/18423	as us funding for closing the digital divide decreases, a more sophisticated approach to measure the divide is needed to get an true assessment of who is being left behind.	n/a	18/10/2006	99		
490	“digital divide” blogurl:freepress.net	your guide to the digital divide	http://www.freepress.net/news/20515	the digital divide is the chasm separating the haves and have-nots in digital technology. there are divides between rural and urban; poor and rich, african-american and white; old and young; disabled and able; developing nation and ...	n/a	22/01/2007	99		
491	“digital divide” blogurl:freepress.net	Broadband Reality Check II	http://www.freepress.net/files/bbrc2-final.pdf	America's digital divide — between rich and poor and urban and rural areas — shows no sign of closing. • Those living in urban areas are nearly twice as likely to have home broadband access as their rural counterparts. ...	n/a	12/09/2006	99		
492	“digital divide” blogurl:freepress.net	oops, our digital divide is showing	http://www.freepress.net/node/41987	a veritable who's who of internet stars launched a new web lobby initiative, internetforeveryone.com, at the personal democracy forum conference in new york this week. read more.	Holiday Shapiro  	26/06/2008	99		
493	“digital divide” blogurl:freepress.net	The Dirty Truth about Rural Broadband | Free Press	http://www.freepress.net/node/74372	Whether the FCC rejects or approves the sale, it seems these rural areas are going to stay on the wrong side of the digital divide – with either no service from Verizon or the possibility of service from a newly debt-ridden company. ...	n/a	10/11/2009	99		
494	“digital divide” blogurl:freepress.net	Media Minutes: August 21, 2009 | Free Press	http://www.freepress.net/node/71949	And university scholars, city and state government, and private enterprise are working to bridge the digital divide in Chicago. Related Stories. Hating on the Wireless Carriers. Wireless Carriers: 10 Things I Hate About You ...	n/a	20/08/2009	99		
495	“digital divide” blogurl:freepress.net	study: 'digital divide' affects school success	http://www.freepress.net/news/12834	access to a home computer increases the likelihood that children will graduate from high school, but blacks and latinos are much less likely to have a computer at home than are whites, according to a new study.	n/a	13/12/2005	99		
496	“digital divide” blogurl:freepress.net	spitzer decries digital divide	http://www.freepress.net/news/15512	gubernatorial candidate eliot spitzer railed against the "digital divide" in the united states, calling for universal, affordable broadband access in new york state as well as the nation as a whole.	n/a	15/05/2006	99		
497	“digital divide” blogurl:freepress.net	new yorkers want to stay on right side of digital divide	http://www.freepress.net/news/21895	new york city's political leaders want to make sure the largest city in the country doesn't end up on the wrong side of the digital divide.	n/a	22/03/2007	99		
